Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
Yes,0.876691,0.251538,0.6997479999999999,0.005464,0.031772,0.001132,1.0,0.027769,0.009021,0.0,0.251538
Yes,0.441234,0.23943000000000003,0.6960430000000001,0.005326,0.030118000000000002,0.001132,1.0,0.027769,0.011805,0.0,0.23943000000000003
Yes,0.216306,0.404305,0.696146,0.00487,0.001663,0.010186,1.0,0.027769,0.011206,2.2e-05,0.404305
No,0.751947,0.248955,0.695449,0.00935,0.068366,0.16658399999999998,1.0,0.050459,0.057226,1.4999999999999999e-05,0.248955
Yes,0.146489,0.391968,0.6960029999999999,0.005308,0.019956,0.022636,1.0,0.047855,0.001593,0.0,0.391968
Yes,0.937528,0.41193500000000005,0.694308,0.004713,0.037186000000000004,0.045058999999999995,0.5,0.059463,0.006647,9e-06,0.41193500000000005
Yes,0.770285,0.384623,0.6960689999999999,0.004825,0.030574,0.001132,0.5,0.059463,0.002814,1e-06,0.384623
Yes,0.197465,0.37849299999999997,0.696312,0.005339,0.029934,0.016977000000000003,1.0,0.047855,0.000537,0.0,0.37849299999999997
Yes,0.094919,0.18501099999999998,0.698832,0.00581,0.014874,0.042105000000000004,1.0,0.040422,0.03952,0.0,0.18501099999999998
Yes,0.426504,0.524644,0.69605,0.005325,0.038249,0.015885,1.0,0.047855,0.000773,1e-06,0.524644
Yes,0.549459,0.315035,0.695889,0.004717,0.003326,0.014713,0.5,0.044478,0.013203999999999999,4e-06,0.315035
Yes,0.374899,0.40320100000000003,0.695857,0.004642,0.021683,0.022749000000000002,1.0,0.040422,0.003104,2e-06,0.40320100000000003
Yes,0.476652,0.36947399999999997,0.696281,0.004984000000000001,0.11293800000000001,0.061627999999999995,0.5,0.037426,0.00197,0.0,0.36947399999999997
Yes,0.08483500000000001,0.337947,0.695883,0.004618,0.033673,0.00884,1.0,0.053785,0.007937,2e-06,0.337947
No,0.69301,0.447375,0.6945680000000001,0.008736,0.102028,0.200227,1.0,0.080836,0.001629,1e-06,0.447375
Yes,0.799728,0.27882199999999996,0.696012,0.00818,0.022187000000000002,0.001132,0.25,0.096626,0.014759999999999999,2e-06,0.27882199999999996
Yes,0.619261,0.366346,0.696267,0.005517,0.011641,0.013581000000000001,0.5,0.089053,0.000704,0.0,0.366346
Yes,0.8240930000000001,0.220638,0.696577,0.008136,0.023811000000000002,0.0,0.25,0.096626,0.01792,0.0,0.220638
Yes,0.32668200000000003,0.311332,0.698204,0.00554,0.013304,0.014713,0.5,0.089053,0.0023899999999999998,0.0,0.311332
Yes,0.13514500000000002,0.30717,0.6963,0.005305,0.0037189999999999996,0.007592,0.25,0.08552799999999999,0.007863,1e-06,0.30717
Yes,0.971267,0.313983,0.696523,0.005374,0.071529,0.00967,0.5,0.065524,0.0045060000000000005,0.0,0.313983
Yes,0.235531,0.342194,0.6960069999999999,0.004961999999999999,0.021167,0.011652,0.5,0.065524,0.004815,1e-06,0.342194
Yes,0.745797,0.440489,0.695549,0.005135,0.052851,0.0033950000000000004,0.5,0.065524,0.0032530000000000002,4e-06,0.440489
Yes,0.27515500000000004,0.420174,0.696342,0.005517,0.010518000000000001,0.012190000000000001,0.5,0.065524,0.0006389999999999999,0.0,0.420174
Yes,0.201966,0.332429,0.695449,0.004935,0.072451,0.004666,0.0,0.097836,0.0044859999999999995,0.0,0.332429
Yes,0.387844,0.32114699999999996,0.696533,0.005666,0.044623,0.008619,0.0,0.074088,0.003843,0.0,0.32114699999999996
No,0.802863,0.147,0.721715,0.012849000000000001,0.035278,0.211983,0.0,0.11450199999999999,0.09162000000000001,0.0,0.147
No,0.511304,0.194652,0.698417,0.01465,0.016463,0.215468,0.0,0.11450199999999999,0.03191,0.0,0.194652
No,0.100971,0.149247,0.6945979999999999,0.01059,0.024722,0.240621,0.0,0.11450199999999999,0.08719500000000001,0.0,0.149247
